feature_set_name,n_features,k,best_seed,silhouette,inertia,min_cluster_size,max_cluster_size,imbalance_ratio,elo_slope_per_game_range,elo_slope_per_game_std_between_clusters,elo_slope_per_game_std_between_clusters_weighted,elo_slope_per_game_std_within_clusters_weighted
COMBO_2_cv_games_interval__color_bias,2,2,0,0.38056063744498336,229.8056065715966,88,210,0.41904761904761906,0.09810679167158423,0.049053395835792116,0.04475419943288248,0.37245867745048994
COMBO_2_cv_games_interval__color_bias,2,3,0,0.3480334025070885,151.48678421287855,66,117,0.5641025641025641,0.12192372479972657,0.052435564138635905,0.04670807894135872,0.37459580866402614
COMBO_2_cv_games_interval__color_bias,2,4,7,0.3387095582287757,120.60128182556532,36,104,0.34615384615384615,0.07297604849607435,0.02979874407008833,0.022371271139305735,0.3725133190001275
COMBO_2_cv_games_interval__color_bias,2,5,0,0.323541646533371,99.09637844933049,33,100,0.33,0.13303822350899375,0.04544177970752628,0.04207873357644121,0.3720000021587819
COMBO_2_cv_games_interval__cv_games_per_session,2,2,0,0.36882090588808647,242.31406808690372,131,167,0.7844311377245509,0.010493382004902602,0.005246691002451301,0.005208265352277262,0.377371241850614
COMBO_2_cv_games_interval__cv_games_per_session,2,3,4,0.36284243694025836,176.35443208156357,55,145,0.3793103448275862,0.1817857338980021,0.07552013377697088,0.0625369073483559,0.3723999299716204
COMBO_2_cv_games_interval__cv_games_per_session,2,4,3,0.36204590240006884,127.3365142002917,20,114,0.17543859649122806,0.17947533816605168,0.07376569661878282,0.0680495054936836,0.369689807918281
COMBO_2_cv_games_interval__cv_games_per_session,2,5,3,0.33625209393228495,104.25108541865244,15,87,0.1724137931034483,0.2161053291691732,0.07773873147811006,0.07111775152224942,0.3712862007548548
COMBO_2_cv_games_interval__entropy_sessions_interval,2,2,1,0.39661124581345586,210.9510028232677,79,219,0.3607305936073059,0.11765984853634323,0.058829924268171616,0.05193350377901144,0.37540620054903645
COMBO_2_cv_games_interval__entropy_sessions_interval,2,3,0,0.4161423627146903,119.68946406808105,56,132,0.42424242424242425,0.13821071611551433,0.05650686278043818,0.051260496711103595,0.3665718334308186
COMBO_2_cv_games_interval__entropy_sessions_interval,2,4,16,0.35887798286301426,94.87981811308772,53,112,0.4732142857142857,0.2280775726888954,0.08317668999423196,0.07548204747236224,0.36127656228651256
COMBO_2_cv_games_interval__entropy_sessions_interval,2,5,1,0.3691842904986172,76.61334817327855,33,86,0.38372093023255816,0.20590185247545262,0.06932038176380188,0.07042383227842929,0.36529740154825335
COMBO_2_cv_games_interval__mean_games_per_session,2,2,0,0.4411280502976432,196.741503199967,115,183,0.6284153005464481,0.05488335872139251,0.027441679360696254,0.026717688503754895,0.3781832133658048
COMBO_2_cv_games_interval__mean_games_per_session,2,3,0,0.43437069342996787,145.77410841380322,48,175,0.2742857142857143,0.12790844692343326,0.05483708117258061,0.0454772787131586,0.3764954327821993
COMBO_2_cv_games_interval__mean_games_per_session,2,4,0,0.40800584074075036,103.29631949539724,30,129,0.23255813953488372,0.1233710554502473,0.04382844143066572,0.03659015039602924,0.3732280997680275
COMBO_2_cv_games_interval__mean_games_per_session,2,5,14,0.3702271285977167,81.80326721446758,19,92,0.20652173913043478,0.17042980465877808,0.06143286786596309,0.056801782427570884,0.37074909780704907
COMBO_2_cv_games_per_day__color_bias,2,2,0,0.30368082824861203,226.0746723975169,137,161,0.8509316770186336,0.11508502303585669,0.05754251151792835,0.057355591970155245,0.3748844701851654
COMBO_2_cv_games_per_day__color_bias,2,3,14,0.33094583347827017,150.89469603607492,85,119,0.7142857142857143,0.13600713268325523,0.058399744982972804,0.0564809252487223,0.3749228669545763
COMBO_2_cv_games_per_day__color_bias,2,4,1,0.32799052120846983,117.98303684260324,61,80,0.7625,0.1737123719860427,0.06545967226837279,0.06658575636691381,0.3721275031410151
COMBO_2_cv_games_per_day__color_bias,2,5,13,0.36321672685509576,89.34168905495203,31,80,0.3875,0.19613393384037867,0.0717430945605804,0.06172926417352332,0.3721111083025512
COMBO_2_cv_games_per_day__cv_games_interval,2,2,0,0.3554901795289523,233.0348751121991,118,180,0.6555555555555556,0.011611789894490965,0.005805894947245482,0.005678846910135857,0.3722699033469764
COMBO_2_cv_games_per_day__cv_games_interval,2,3,0,0.37912428076596427,148.72396172362502,72,116,0.6206896551724138,0.15761856119364845,0.06512617740889705,0.06298208728366038,0.36868746714978246
