feature_set_name,n_features,k,best_seed,silhouette,inertia,min_cluster_size,max_cluster_size,imbalance_ratio,elo_slope_per_game_range,elo_slope_per_game_std_between_clusters,elo_slope_per_game_std_between_clusters_weighted,elo_slope_per_game_std_within_clusters_weighted
COMBO_5_mean_ply_count__delay_ratio_when_losestreak__cv_games_per_day__cv_games_per_week__entropy_sessions_interval,5,5,14,0.1836635088505106,421.9534317385933,51,78,0.6538461538461539,0.3469446622356404,0.119861751547191,0.1122937290141701,0.3568156526736261
COMBO_5_mean_ply_count__draw_ratio__cv_games_per_day__cv_games_interval__mean_games_per_session,5,5,12,0.1709828857720644,459.84548022754007,28,82,0.3414634146341463,0.316361755581338,0.1165171009011078,0.1101362299037283,0.3578106375074002
COMBO_4_mean_ply_count__delay_ratio_when_winstreak__entropy_sessions_interval__color_bias,4,5,10,0.191399666303953,343.4721670229143,27,70,0.3857142857142857,0.2838624508188998,0.106373654108208,0.1091091204980694,0.3567865646813393
COMBO_3_mean_ply_count__entropy_sessions_interval__mean_games_per_session,3,5,14,0.2461807569327863,188.87859038971217,28,86,0.3255813953488372,0.2767989641717619,0.097656328332028,0.1083382047217168,0.3553397977854343
COMBO_5_draw_ratio__cv_games_per_week__cv_games_interval__entropy_sessions_interval__cv_games_per_session,5,5,13,0.1826516479315938,461.9510062233117,22,84,0.2619047619047619,0.2960231246000155,0.1147686146119585,0.1074474864458724,0.3557625641736799
COMBO_4_mean_ply_count__cv_games_per_day__cv_games_per_week__cv_games_interval,4,5,18,0.2441779045379127,293.3332571763089,32,100,0.32,0.3523048642877791,0.1211766293415396,0.105964549713829,0.360210544665332
COMBO_4_mean_ply_count__draw_ratio__cv_games_per_day__entropy_sessions_interval,4,5,19,0.202414885126425,301.2014262095298,43,94,0.4574468085106383,0.3634223046396376,0.119663580615589,0.1054234056279106,0.3583006597076547
COMBO_4_mean_ply_count__cv_games_per_day__cv_games_interval__color_bias,4,5,11,0.1969407003774127,343.4315441653316,41,91,0.4505494505494505,0.357611483498414,0.1173999530224987,0.1049041242582388,0.3608795834374855
COMBO_5_mean_ply_count__draw_ratio__delay_ratio_when_losestreak__cv_games_per_week__entropy_sessions_interval,5,4,8,0.1708530509132377,500.7403258855641,70,76,0.9210526315789472,0.2926980901473302,0.1038133650432961,0.1048350019922379,0.3589298524723837
COMBO_3_mean_ply_count__cv_games_per_day__entropy_sessions_interval,3,5,11,0.2406944838254809,183.1665714012013,43,80,0.5375,0.3452272413328106,0.1127987169158541,0.1047565575109948,0.3571182647284252
COMBO_5_mean_ply_count__draw_ratio__cv_games_interval__cv_games_per_session__color_bias,5,5,12,0.1520699693501851,499.9312804376625,40,84,0.4761904761904761,0.3657261993107069,0.1252275904584083,0.1047283183860569,0.3637675958927444
COMBO_5_mean_ply_count__draw_ratio__cv_games_per_day__cv_games_per_week__cv_games_interval,5,5,1,0.1941953255004966,419.6568937524976,30,82,0.3658536585365853,0.3313089742955188,0.1090550723458666,0.1039539206882294,0.3596119075248342
COMBO_4_mean_ply_count__draw_ratio__cv_games_interval__entropy_sessions_interval,4,5,12,0.2077032629703818,302.01737743413946,34,80,0.425,0.3437260901075312,0.1210621014697405,0.1037546368116434,0.3522552754395213
COMBO_5_mean_ply_count__delay_ratio_when_winstreak__cv_games_per_day__mean_games_per_session__color_bias,5,5,10,0.1652653789910378,501.2348464409584,30,87,0.3448275862068966,0.3253055555801666,0.1209897543035867,0.1036582331800969,0.364379075028715
COMBO_4_draw_ratio__cv_games_per_day__cv_games_interval__mean_games_per_session,4,5,17,0.2109115138030085,346.1281143012478,38,87,0.4367816091954023,0.2984248605102355,0.1039602406765831,0.1033392110320825,0.360884447135039
COMBO_3_mean_ply_count__cv_games_per_day__entropy_sessions_interval,3,4,2,0.2463848957764433,207.2715161880542,57,88,0.6477272727272727,0.3000537795268027,0.1124921464462244,0.10229013125336,0.3623735098549414
COMBO_4_mean_ply_count__delay_ratio_when_losestreak__cv_games_per_week__entropy_sessions_interval,4,4,13,0.209549231307535,363.0815109013775,59,81,0.7283950617283951,0.300740894213827,0.1066475035681296,0.1021641270523646,0.3571387580980971
COMBO_5_mean_ply_count__draw_ratio__cv_games_per_week__cv_games_interval__cv_games_per_session,5,5,4,0.1790512567065889,465.85222679639446,26,83,0.3132530120481928,0.3356527424146051,0.1193241192075869,0.101671133023889,0.3616719146438733
COMBO_5_opening_diversity__delay_ratio_when_winstreak__cv_games_per_day__mean_games_per_session__color_bias,5,5,9,0.1828993682930665,559.3577962694802,30,118,0.2542372881355932,0.3101544937998917,0.1148467249163755,0.1013745764566547,0.3647041586949299
COMBO_4_mean_ply_count__draw_ratio__cv_games_per_day__mean_games_per_session,4,5,5,0.2026815460636305,324.9582830293275,27,88,0.3068181818181818,0.3342539191342117,0.1232694691203446,0.1012560935071903,0.363166464268144
COMBO_4_mean_ply_count__cv_games_interval__mean_games_per_session__color_bias,4,5,1,0.1920038722958453,332.56264522146824,34,85,0.4,0.3619332203420332,0.1199813877358054,0.1008568900121992,0.3637050251052142
COMBO_4_mean_ply_count__delay_ratio_when_losestreak__cv_games_per_day__cv_games_interval,4,5,3,0.2205327888646952,337.2243246279592,28,85,0.3294117647058823,0.3574971667231844,0.1171699410676908,0.1005514310587059,0.3566798730818888
COMBO_4_mean_ply_count__draw_ratio__delay_ratio_when_losestreak__entropy_sessions_interval,4,4,10,0.203142359315156,369.8113109329125,66,85,0.7764705882352941,0.2669405914509269,0.1005083544178498,0.1000532456799696,0.363555977414724
